ITSM-MLC-12514,NICF - ITIL® Managing Across the Lifecycle
EBA-12622,NICF- Strategic Business Analysis
EBA-SF-2019-00001-P,NICF- Strategic Business Analysis (SF)
SFB-12686,NICF- Statistics for Business
SFB-SF-2019-00001-P,NICF- Statistics for Business (SF)
ST-12716,NICF- Software Testing
ITSM-CSI-12513,NICF- ITIL® Continual Service Improvement Certificate
ITSM-CSI-SF-2019-00001-P,NICF- ITIL® Continual Service Improvement Certificate (SF)
MR-2019-00001-P,NICF- Machine Reasoning (SF)
EBA-SF-WS-2019-00001,EBA-Workshop-WS
SUMML-WS-2019-00001,NICF- Supervised and Unsupervised Modeling with Machine Learning (SF)
ITSM-CSI-SF-WS1-2019-00001,ITSM-CSI-Workshop 1-WS
ATI-12738,Architecting IoT Solutions
ATI-12741,Architecting IoT Solutions
CA-2019-00007-P,NICF- Customer Analytics
CA-SF-2019-00003-P,NICF- Customer Analytics (SF)
DABP-2019-00005-P,NICF- Data Analytics Process and Best Practice (SF)
FNBA-12502,NICF- Facilitation and Negotiation for Business Analysis
CFDSA-SF-2019-00004-P,NICF- Containers for Deploying and Scaling Apps (SF)
PMIS-12530,NICF- Project Management for IT
OOAD-12655,NICF- Object Oriented Analysis & Design
OOAD-SF-2019-00001-P,NICF- Object Oriented Analysis & Design (SF)
SB-2019-00011-P,NICF- Statistics Bootcamp
SB-SF-2019-00011-P,NICF- Statistics Bootcamp (SF)
FESMDL-2019-00001-P,NICF- Feature Extraction and Supervised Modeling with Deep Learning (SF)
PCP-DA-2019-00001-P,PCP for Data Analysts
MADH5-12642,NICF- Design and Develop Mobile Enterprise Application with HTML5
DSES-12611,NICF- Digital & Social Engagement Strategy
DSES-SF-2019-00001-P,NICF- Digital & Social Engagement Strategy (SF)
SSDIOT-2019-00003-P,Developing Smart Urban IoT Solutions
SSDIOT-SF-2019-00003-P,NICF- Developing Smart Urban IoT Solutions (SF)
ITSM-OSA-12516,NICF- ITIL® Operational Support and Analysis Certificate
ITSM-OSA-SF-2019-00001-P,NICF- ITIL® Operational Support and Analysis Certificate (SF)
CSPO-2019-00006-P,Certified Scrum Product Owner
SFF-12539,NICF- Strategic Futures & Foresight
FESMDL-WS-2019-00001,NICF- Feature Extraction and Supervised Modeling with Deep Learning (SF)
BAAP-SF-2019-00006-P,NICF- Business Analysis for Agile Practitioners (SF)
ACD-12452,NICF- Agile Continuous Delivery
AT-2019-00004-P,NICF- Agile Testing
AT-SF-2019-00001-P,NICF- Agile Testing (SF)
BPRPM-12479,NICF- Benefits Planning and Realisation for Project Managers
HFIS-12505,Essential Leadership Skills for Project Managers
ITGL-12636,NICF- Enterprise Digital Governance
ITGL-SF-2019-00001-P,NICF- Enterprise Digital Governance (SF)
BEAUJ-12500,NICF- Building Enterprise Applications Using Java EE
CSSLP-12446,NICF- (ISC)² CSSLP CBK Training Seminar
CSSLP-SF-2019-00001-P,NICF- (ISC)² CSSLP CBK Training Seminar (SF)
PA-2019-00008-P,NICF- Predictive Analytics - Insights of Trends and Irregularities
PA-SF-2019-00011-P,NICF- Predictive Analytics - Insights of Trends and Irregularities (SF)
PA-SF-2019-00012-P,NICF- Predictive Analytics - Insights of Trends and Irregularities (SF)
PAF-12666,Persistence and Analytics Fundamentals
PAF-SF-2019-00001-P,NICF- Persistence and Analytics Fundamentals (SF)
ITSM-OSA-SF-WS-2019-00001,ITSM-OSA-Workshop 1-WS
CSCRUM-2019-00020-P,NICF- Certified ScrumMaster
SMDL-2019-00001-P,NICF- Sequence Modeling with Deep Learning (SF)
AT-SF-WS-2019-00001,AT-Assessment-WS
MBAP-12755,NICF- Managing Business Analytics Projects
MBAP-SF-2019-00001-P,NICF- Managing Business Analytics Projects (SF)
DPS-SF-WS-2019-00003,NICF- Digital Product Strategy
DAG-2019-00005-P,NICF- Data Governance & Protection
DAG-SF-2019-00005-P,NICF- Data Governance & Protection (SF)
SSDLA-2019-00001-P,NICF- Secure Software Development Lifecycle for Agile
TE-SF-2019-00001-P,NICF- Technopreneurship (SF)
ARCHSS-2019-00001-P,NICF- Architecting Software Solutions
ARCHSS-SF-2019-00002-P,NICF- Architecting Software Solutions (SF)
CISSP-2019-00003-P,NICF- (ISC)² CISSP CBK Training Seminar
CISSP-SF-2019-00004-P,NICF- (ISC)² CISSP CBK Training Seminar (SF)
RBS-2019-00004-P,NICF- Robotic Systems (SF)
DACS-2019-00008-P,"PCP-DA: Clinics & Seminars, and Structured Apprenticeship & Mentoring"
SSDLA-WS-2019-00004,SSDLA-Assessment-WS
TA-2019-00010-P,NICF- Text Analytics
CEITA-2019-00001-P,NICF- Certified Enterprise Architecture Practitioner Course
CEITA-SF-2019-00001-P,NICF- Certified Enterprise Architecture Practitioner Course (SF)
BLCK-2019-00004-P,Introduction to Blockchain & DLT for Executives
DOEA-2019-00001-P,NICF- DevOps Engineering and Automation (SF)
DOEA-2019-00008-P,NICF- DevOps Engineering and Automation (SF)
DOEA-2019-00007-P,NICF- DevOps Engineering and Automation (SF)
DOEA-2019-00005-P,NICF- DevOps Engineering and Automation (SF)
BLCK-SF-2019-00001-P,NICF- Introduction to Blockchain & DLT for Executives (SF)
BLCK-SF-WS-2019-00001,Introduction to Blockchain & DLT for Executives
DDDM-2019-00014-P,Data Driven Decision Making
DDDM-SF-2019-00001-P,NICF- Data Driven Decision Making (SF)
CA-12550,NICF- Customer Analytics
PE-2019-00001-P,NICF- Platform Engineering (SF)
SMA-2019-00001-P,NICF- Social Media Analytics
SMA-SF-2019-00001-P,NICF- Social Media Analytics (SF)
CBAP-2019-00001-P,Certified Business Analysis Professional (CBAP®) Preparatory Course
CITPM-2019-00001-P,NICF- Certification in IT Project Management (Associate) Course
CITPMP-2019-00001-P,NICF- PMP® For Project Managers
CITPMP-SF-2019-00002-P,NICF- PMP® For Project Managers (SF)
PYDOT-2019-00008-P,"Python for Data, Ops and Things"
PYDOT-SF-2019-00001-P,"NICF- Python for Data, Ops and Things (SF)"
API-SF-2019-00002-P,NICF- RESTful API Design  (SF)
PE-WS-2019-00001,Platform Engineering
COMIT-2019-00001-P,NICF- Certification in Outsourcing Management for IT (Associate) Course
DOFBO-2019-00005-P,NICF- DevOps Foundation with BizOps
DOFBO-SF-2019-00001-P,NICF- DevOps Foundation with BizOps (SF)
CLIF-2019-00001-P,NICF - Lean IT Foundation Certification
CLIF-SF-2019-00001-P,NICF - Lean IT Foundation Certification (SF)
CCSP-2019-00001-P,NICF- (ISC)² CCSP CBK Training Seminar
CCSP-SF-2019-00001-P,NICF- (ISC)2 CCSP CBK Training Seminar (SF)
DOFBO-SF-WS-2019-00001,NICF- DevOps Foundation with BizOps
