Reference No,title,Duration,Instructors
[' CRS-Q-0034783-ICT '],NICF- Advanced Customer Analytics  (SF),[' 3 days '],"['Dr. Rita CHAKRAVARTI ', 'Mr. Dave HUFTON', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Rajnish TULI']"
[' CRS-Q-0034740-ICT '],NICF- (ISC) CISSP CBK Training Seminar  (SF),[' 5 days '],"['Ms. Angela HUANG ', 'Mr. CHEONG Kok Yin', 'Mr. Christopher LEK', 'Mr. HOO Chuan Wei', 'Mr. LEONG Kai Seng', 'Mr. Martin LUI', 'Mr. NG Kok Leong', 'Mr. Winston CHEW']"
[' CRS-Q-0036483-ICT '],NICF- Managing Business Analytics Projects  (SF),[' 3 days '],"['Mr. Daniel BOEY ', 'Ms. Catherine KHAW', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Richard TAN ']"
[' CRS-Q-0034798-ICT '],NICF- Enterprise Digital Governance  (SF),[' 3 days '],"['Mr. Nicholas TAN ', 'Mrs. TAN Lay Ngan']"
[' CRS-Q-0034785-ICT '],NICF- Data Storytelling  (SF),[' 3 days '],"['Mr. Brandon NG ', 'Ms. Catherine KHAW', 'Dr. Kate LAZARENKO', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Mr. Rajnish TULI', 'Ms. Tamsin Emma Maria GREULICH-SMITH', 'Dr. TAN Jen Hong']"
[' CRS-Q-0035224-ICT '],NICF- Containers for Deploying and Scaling Apps  (SF),[' 4 days '],"['Mr. LEE Chuk Munn', 'Mr. Prasanna VEERAPANDI']"
[' CRS-Q-0036099-ICT '],NICF- Data Driven Decision Making  (SF),[' 1 day '],"['Mr. Nirmal Raja PALAPARTHI ', 'Ms. Catherine KHAW', 'Dr. LEONG Mun Kew']"
[' CRS-Q-0034783-ICT '],NICF- Advanced Customer Analytics  (SF),[' 3 days '],"['Dr. Rita CHAKRAVARTI ', 'Mr. Dave HUFTON', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Rajnish TULI']"
[' CRS-Q-0033974-ICT '],NICF- Robotic Systems  (SF),[' 5 days '],"['Dr. Matthew CHUA ', 'Dr. LIU Fan', 'Mr. Nicholas HO', 'Mr. TAN Tzann Chang']"
[' CRS-Q-0034742-ICT '],NICF- Technopreneurship  (SF),[' 4 days '],['Mr. Hugh MASON']
[' CRS-Q-0036474-ICT '],NICF- Data and Feature Engineering for Machine Learning  (SF),[' 7 days '],['Ms. Lisa ONG']
[' CRS-Q-0034796-ICT '],NICF- Customer Analytics  (SF),[' 3 days '],"['Mr. Eric THAM ', 'Mr. Dave HUFTON', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Mr. Rajnish TULI', 'Dr. Rita CHAKRAVARTI']"
